product_id,company_id,settlement_product_id,currency,amortization_type,interest_calc_method,amortising_frequency,granted_balance,outstanding_balance,total_periods,next_payment_date,last_payment_date,annual_interest_rate_or_spread,interest_type
PRODUCT_06719,COMP_0047,PRODUCT_04535,EUR,constant quote,30/360,monthly,270000,154978.58,33,2025-09-30 00:00:00,2025-09-16 12:31:20,0.04,fixed
PRODUCT_04223,COMP_0203,PRODUCT_00862,EUR,constant quote,30/360,monthly,1000000,1000000,84,2026-09-01 00:00:00,2026-08-06 14:14:16,0.03,fixed
PRODUCT_04218,COMP_0058,PRODUCT_03752,EUR,constant quote,30/360,monthly,1235500,1235500,67,2026-07-09 00:00:00,2026-06-09 11:49:36,0.03,fixed
PRODUCT_03014,COMP_0906,PRODUCT_06629,EUR,constant quote,30/360,monthly,300000,201324.47,39,2026-03-30 00:00:00,2026-03-10 17:05:19,0.04,fixed
PRODUCT_03158,COMP_0721,PRODUCT_03880,EUR,constant quote,30/360,monthly,1000000,464024.64,26,2026-03-11 00:00:00,2026-02-17 17:44:05,0.04,fixed
PRODUCT_01678,COMP_0087,PRODUCT_02881,EUR,constant quote,30/360,semiannually,3800000,3800000,4,2027-01-22 00:00:00,2026-07-27 12:03:42,0.05,fixed
PRODUCT_02616,COMP_1038,PRODUCT_04069,EUR,constant quote,30/360,quarterly,150000,74425.93,5,2025-10-28 00:00:00,2025-09-23 13:28:00,0,fixed
PRODUCT_03458,COMP_0721,PRODUCT_04677,EUR,constant quote,30/360,monthly,2000000,1715724.83,70,2026-03-01 00:00:00,2026-02-16 17:17:15,0.03,fixed
PRODUCT_04275,COMP_0203,PRODUCT_03737,EUR,constant quote,30/360,monthly,800000,40685.98,4,2026-06-20 00:00:00,2026-05-21 09:02:04,0.02,fixed
