company_id,group_id,country,currency,erp,created_at
COMP_0218,GROUP_0113,,EUR,,2025-03-07 12:27:13
COMP_0600,GROUP_0113,ES,EUR,,2025-03-07 11:08:05
COMP_0721,GROUP_0113,,EUR,,2025-03-07 11:08:29
COMP_0995,GROUP_0113,,EUR,,2025-03-07 11:07:23
COMP_0148,GROUP_0016,,EUR,,2025-04-21 15:06:56
COMP_0203,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:17:33
COMP_0266,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:19:20
COMP_0368,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:18:51
COMP_0412,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:18:34
